Mean	SD	Sample	Group
3.57E+06	1.07E+06	MG1655	Inox
1.83E+06	1.93E+06	I1	Inox
1.32E+06	7.30E+05	R1	Inox
1.37E+07	6.03E+06	TG1	Inox
1.18E+07	2.08E+06	MG1655	PE
6.53E+06	2.05E+06	I1	PE
6.02E+06	3.49E+06	R1	PE
6.35E+07	5.84E+07	TG1	PE
1.76E+07	7.88E+05	MG1655	Silicone
1.41E+07	2.37E+06	I1	Silicone
2.41E+07	3.84E+06	R1	Silicone
1.05E+08	1.09E+07	TG1	Silicone
2.74E+06	2.85E+06	MG1655	Titanium
1.70E+06	1.62E+06	I1	Titanium
1.28E+06	8.89E+05	R1	Titanium
1.52E+07	1.22E+07	TG1	Titanium
435000000	40414518.84	MG1655	PVC
232500000	28722813.23	I1	PVC
225000000	19148542.16	R1	PVC
1525000000	386221007.5	TG1	PVC
295000000	23804761.43	MG1655	PS
487500000	78898669.19	I1	PS
472500000	22173557.83	R1	PS
1350000000	238047614.3	TG1	PS
