Mean	SD	Sample	Group
0.12339375	0.004141628	I3	PS plate
0.1344625	0.011995182	R3	PS plate
0.301304372	0.045144759	MG1655	PS plate
1.115274996	0.219901594	TG1	PS plate
0.129587499	0.009340158	I3	PVC plate
0.139624999	0.011191366	R3	PVC plate
0.256881245	0.054264983	MG1655	PVC plate
0.788606253	0.174035059	TG1	PVC plate
