Mean	SD	Sample	Group
0.223306249	0.034064917	I2	PS plate
0.418781246	0.178752229	MG1655	PS plate
0.461275003	0.209100285	R2	PS plate
1.103862494	0.242455157	TG1	PS plate
0.168143751	0.030528486	I2	PVC plate
0.172904165	0.051233365	R2	PVC plate
0.256881245	0.054264983	MG1655	PVC plate
0.777800001	0.190205307	TG1	PVC plate
