Strain	Time	Mean	SD
CFT073	0 hpi	2202	489.5610279
MG1655	0 hpi	366.6	384.5293227
I2	0 hpi	760.8	585.6481025
R2	0 hpi	1440	677.1632004
CFT073	6 hpi	6138	2939.510163
MG1655	6 hpi	645.6	875.4409175
I2	6 hpi	9378	9361.432583
R2	6 hpi	7320.6	7269.526931
CFT073	24 hpi	1252800	1046302.633
MG1655	24 hpi	107.4	132.6020362
I2	24 hpi	1776000	411558.0154
R2	24 hpi	3000000	1906829.83
